Grupo 1,Grupo 2,p-valor,p-valor Ajustado
Brooklyn,Manhattan,1.4649940716907442e-201,1.4649940716907442e-200
Brooklyn,Queens,7.327234548504463e-22,7.327234548504463e-21
Brooklyn,Staten Island,0.5077115739360218,1.0
Brooklyn,Bronx,3.1127800952001157e-25,3.1127800952001156e-24
Manhattan,Queens,2.4091328479612908e-227,2.409132847961291e-226
Manhattan,Staten Island,3.027349173400217e-08,3.027349173400217e-07
Manhattan,Bronx,4.9737631916034786e-154,4.973763191603478e-153
Queens,Staten Island,0.2936624065414445,1.0
Queens,Bronx,0.0021902663099723574,0.021902663099723572
Staten Island,Bronx,0.06445512100181207,0.6445512100181207
